NAME	SYMBOL	RANK IN GENE LIST	RANK METRIC SCORE	RUNNING ES	CORE ENRICHMENT	
row_0	ENSG00000035928	710	0.007170455995947123	-0.031609777	No	
row_1	ENSG00000112096	838	0.006598173640668392	-0.03604525	No	
row_2	ENSG00000118402	1046	0.0058751520700752735	-0.044393383	No	
row_3	ENSG00000116678	1317	0.0052237906493246555	-0.055841528	No	
row_4	ENSG00000154734	1442	0.00493874866515398	-0.06051694	No	
row_5	ENSG00000109189	2090	0.0037067413795739412	-0.08997014	No	
row_6	ENSG00000152952	2488	0.0031715782824903727	-0.10783699	No	
row_7	ENSG00000136147	3486	0.0020845697727054358	-0.15405478	No	
row_8	ENSG00000188352	4320	0.0014993789372965693	-0.19272558	No	
row_9	ENSG00000155111	4679	0.0012861705617979169	-0.20919807	No	
row_10	ENSG00000038427	5692	8.602034067735076E-4	-0.2563991	No	
row_11	ENSG00000226887	8585	2.0909510203637183E-4	-0.3918015	No	
row_12	ENSG00000119946	10213	5.370641883928329E-5	-0.4679917	No	
row_13	ENSG00000213694	13497	-2.7307705022394657E-4	-0.62169236	No	
row_14	ENSG00000143127	15031	-5.867478903383017E-4	-0.69335777	No	
row_15	ENSG00000196167	15322	-6.736950017511845E-4	-0.7067858	No	
row_16	ENSG00000145244	16347	-0.0010939103085547686	-0.7544953	No	
row_17	ENSG00000069869	16865	-0.0013907880056649446	-0.77839077	No	
row_18	ENSG00000011465	16911	-0.0014186851913109422	-0.7801731	No	
row_19	ENSG00000113578	17199	-0.001629708451218903	-0.7932415	No	
row_20	ENSG00000136144	17235	-0.0016610219608992338	-0.79449993	No	
row_21	ENSG00000148795	17465	-0.0018408714095130563	-0.80480343	No	
row_22	ENSG00000122641	17476	-0.0018472726223990321	-0.80484825	No	
row_23	ENSG00000185499	17568	-0.0019112458685413003	-0.8086722	No	
row_24	ENSG00000186407	17696	-0.001997164450585842	-0.8141625	No	
row_25	ENSG00000107518	17870	-0.0021572040859609842	-0.82177055	No	
row_26	ENSG00000183668	18266	-0.002535159233957529	-0.8396897	No	
row_27	ENSG00000110723	18314	-0.0025777022819966078	-0.8413	No	
row_28	ENSG00000252666	18332	-0.0026022163219749928	-0.8414996	No	
row_29	ENSG00000149968	18520	-0.002814266365021467	-0.8496128	No	
row_30	ENSG00000115419	18538	-0.0028368046041578054	-0.8497586	No	
row_31	ENSG00000114251	18591	-0.002900849562138319	-0.851529	No	
row_32	ENSG00000101974	18638	-0.002970833797007799	-0.85300237	No	
row_33	ENSG00000108691	18750	-0.003108443459495902	-0.8574886	No	
row_34	ENSG00000170525	18790	-0.003159285755828023	-0.85859084	No	
row_35	ENSG00000136153	18896	-0.00331170205026865	-0.8627494	No	
row_36	ENSG00000163631	19043	-0.003539054421707988	-0.8687761	No	
row_37	ENSG00000139372	19294	-0.003932801540941	-0.8795835	No	
row_38	ENSG00000153827	19341	-0.004010286182165146	-0.88081855	No	
row_39	ENSG00000120217	19394	-0.00410753907635808	-0.8823123	No	
row_40	ENSG00000221869	19423	-0.0041634137742221355	-0.8826692	No	
row_41	ENSG00000173706	19531	-0.004375116433948278	-0.8866776	No	
row_42	ENSG00000106351	19601	-0.004517981316894293	-0.8888735	No	
row_43	ENSG00000100612	19689	-0.004699084907770157	-0.8918709	No	
row_44	ENSG00000243927	19741	-0.004837507382035255	-0.8931505	No	
row_45	ENSG00000243649	19788	-0.004952135030180216	-0.8941696	No	
row_46	ENSG00000122862	19894	-0.0051991017535328865	-0.89789546	No	
row_47	ENSG00000075539	19904	-0.005237054545432329	-0.8971163	No	
row_48	ENSG00000142192	19927	-0.005304071586579084	-0.8969307	No	
row_49	ENSG00000233705	19939	-0.005337282549589872	-0.89622223	No	
